method,resolution,h,num_cells,num_dofs,solve_seconds,velocity_l2_error,velocity_h1_error,pressure_l2_error,divergence_l2,velocity_l2_rate,velocity_h1_rate,pressure_l2_rate,divergence_l2_rate
taylor_hood,4,0.25,32,187,0.01224866695702076,0.019996241847843172,0.5395872753464431,0.004719471496564565,0.030472411510934546,,,,
taylor_hood,8,0.125,128,659,0.002224875148385763,0.0031969749092701874,0.1679934393842077,0.000554015016059688,0.007869458787756741,2.6449495545406867,1.6834514339588218,3.0906283256207217,1.9531673511437366
taylor_hood,16,0.0625,512,2467,0.0118557910900563,0.00043158600735916425,0.044929869070372705,5.378895357163966e-05,0.0014202471150521806,2.888987425056485,1.9026581299708085,3.364543252066903,2.470122447150572
taylor_hood,32,0.03125,2048,9539,0.09157654200680554,5.50936989975117e-05,0.01143798648157792,4.676396683773729e-06,0.0002127564370679762,2.969688857345804,1.9738417521755502,3.5238407031477643,2.7388672851865254
taylor_hood,64,0.015625,8192,37507,1.0349604999646544,6.924402404843466e-06,0.0028728379506280897,3.857652447741739e-07,2.9086331352582006e-05,2.9921258558131947,1.9932845839749387,3.599602238422501,2.8707895356639006
usfem_p1dg0,4,0.25,32,82,0.0007952088490128517,0.13837531012676907,1.8038769946111308,0.10117393945576109,0.10891539359848723,,,,
usfem_p1dg0,8,0.125,128,290,0.0016843751072883606,0.042375425450334944,1.0635351552901169,0.0387230989444317,0.0392121233191808,1.7072867922500785,0.7622332428036792,1.3855714073998449,1.4738362019342857
usfem_p1dg0,16,0.0625,512,1090,0.006949959089979529,0.011276601474860336,0.5601301859592654,0.01687757903659503,0.013599798077790437,1.909895517028147,0.9250336388265635,1.1980864386948396,1.5277145339656988
usfem_p1dg0,32,0.03125,2048,4226,0.04767704103142023,0.0028668791734000262,0.2839726603250092,0.008021709267056911,0.00472027851646734,1.9757793283931122,0.9800101387176333,1.073126390761262,1.526641338962023
usfem_p1dg0,64,0.015625,8192,16642,0.5500560419168323,0.0007198516267656595,0.1424826285969851,0.003943705275121269,0.0016494976935673565,1.9937096232982825,0.9949660024783683,1.0243579402864722,1.516845226593171
usfem_p1dg1,4,0.25,32,146,0.0009419999551028013,0.15882235622777746,1.8277023909772039,0.20309569948230524,0.16540482256084543,,,,
usfem_p1dg1,8,0.125,128,546,0.003032249864190817,0.04934058579267774,1.0722371843816418,0.08469961546461123,0.0781520550277032,1.6865672549491042,0.769407099474578,1.261732366265454,1.0816455836337273
usfem_p1dg1,16,0.0625,512,2114,0.06901358300819993,0.013345062202821015,0.5626460020440135,0.03484873306945103,0.03216214118697641,1.8864688139785875,0.9303246550549612,1.2812492120838563,1.2809203529514632
usfem_p1dg1,32,0.03125,2048,8322,0.20672316593118012,0.0034311314429452855,0.2845732090375809,0.015138195649923292,0.012184331914968068,1.9595497298997846,0.9834276658382786,1.2029129496385043,1.4003363086806597
usfem_p1dg1,64,0.015625,8192,33026,2.4534623748622835,0.0008668347903404224,0.1426118475973589,0.007030099575909986,0.004433324353877727,1.9848554328966685,0.9967060068112499,1.1065762288173489,1.458566325207622
