method,resolution,num_cells,analytic_vug_fraction,represented_vug_fraction,flow_rate,permeability_diagnostic,solve_seconds,facet_law,facet_size_mode,raw_pressure_jump_l2
taylor_hood,16,5018,0.06544984694978735,0.061931078789026296,2.4298077609853993e-07,1.2149038804926997e-09,14.428062583087012,,,5.963627426571859e-16
usfem_p1dg1,16,5018,0.06544984694978735,0.061931078789026296,2.3744174889256656e-07,1.1872087444628328e-09,17.360247832955793,shifted,facet_measure,0.22761338560626196
