axis,k_m2,k_mD,n_pores,n_throats,conductance_model
x,1.8612281923119965e-13,188.58894022585102,4705.0,8524.0,valvatne_blunt
y,2.017353071589347e-14,20.44082930851209,4705.0,8524.0,valvatne_blunt
z,9.885165223474469e-14,100.16143324891071,4705.0,8524.0,valvatne_blunt
