property,estimated,units,paper_reference,abs_error,rel_error_pct,reference_label
Porosity (image full volume),10.818036000000001,%,10.8,0.018036000000000385,0.16700000000000356,Muljadi et al. (2016) Table 1
Porosity (network absolute),10.980112799999999,%,10.8,0.18011279999999807,1.6677111111110932,Muljadi et al. (2016) Table 1
Porosity (network effective),10.980112799999999,%,10.8,0.18011279999999807,1.6677111111110932,Muljadi et al. (2016) Table 1
Absolute permeability Kx,188.58894022585102,mD,172.0,16.58894022585102,9.644732689448267,Muljadi et al. (2016) Table 2
