axis,k_m2,k_mD,n_pores,n_throats,conductance_model
x,2.096978988784088e-11,21247.638887278146,10489.0,27831.0,valvatne_blunt
y,4.392792650117185e-11,44509.97002621363,10489.0,27831.0,valvatne_blunt
z,1.1429702737314937e-10,115811.45908010214,10489.0,27831.0,valvatne_blunt
