metric,value,units
Np,12345.0,count
Nt,33462.0,count
Mean coordination,5.421142162818955,-
Max coordination,58.0,-
Mean pore size (diameter_equivalent),152.5325230034664,um
Median pore size (diameter_equivalent),133.71943895564021,um
Mean throat size (diameter_equivalent),107.44862113585349,um
Median throat size (diameter_equivalent),91.84061112758761,um
Connected components,1.0,count
Giant component fraction,1.0,-
Dead-end pore fraction,0.11429728635074929,-
