metric,value,units
Np,10489.0,count
Nt,27831.0,count
Mean coordination,5.306702259509962,-
Max coordination,32.0,-
Mean pore size (diameter_equivalent),138.60891396663334,um
Median pore size (diameter_equivalent),119.67081636014632,um
Mean throat size (diameter_equivalent),91.4670201099858,um
Median throat size (diameter_equivalent),74.98754497598814,um
Connected components,1.0,count
Giant component fraction,1.0,-
Dead-end pore fraction,0.10944799313566593,-
