axis,k_m2,k_mD,n_pores,n_throats,conductance_model
x,7.361876175868996e-11,74594.20783630293,12345.0,33462.0,valvatne_blunt
y,1.0302728704018347e-10,104392.39507283237,12345.0,33462.0,valvatne_blunt
z,2.4337996403295544e-10,246604.74023964722,12345.0,33462.0,valvatne_blunt
