case,shape,porosity,blobiness,seed_start,seed_used,threshold,phi_truth,segmentation_mismatch,flow_axis,phi_image,phi_abs,phi_eff,Np,Nt,k_voids,k_openpnm,k_abs_diff,k_rel_diff,Q_voids,Q_openpnm,Q_abs_diff,Q_rel_diff,n_inlet_pores,n_outlet_pores,conductance_model,solver_voids,p_inlet_physical,p_outlet_physical,dp_physical,backend,backend_version,openpnm_version,k_ratio_voids_to_openpnm,k_rel_diff_ppm,Q_rel_diff_ppm
phi032_b14,"(32, 32, 32)",0.32,1.4,401,401,103.49191422410435,0.32000732421875,3.0517578125e-05,x,0.319976806640625,0.320159912109375,0.320159912109375,53,150,6.096639420818581e-15,6.096639420818574e-15,7.099748146989106e-30,1.1645346980412104e-15,3.9018492293238917e-16,3.9018492293238873e-16,4.437342591868191e-31,1.1372409160558696e-15,1,5,valvatne_blunt,direct,1.0,0.0,1.0,porespy,3.0.4,3.6.1,1.000000000000001,1.1645346980412104e-09,1.1372409160558695e-09
phi035_b16,"(32, 32, 32)",0.35,1.6,501,501,100.79870617743363,0.350006103515625,0.0,x,0.350006103515625,0.34976196289062494,0.34976196289062494,26,79,1.7022318748156208e-14,1.7022318748156193e-14,1.5777218104420236e-29,9.268548156007925e-16,1.0894283998819974e-15,1.0894283998819962e-15,1.1832913578315177e-30,1.0861579870321787e-15,2,2,valvatne_blunt,direct,1.0,0.0,1.0,porespy,3.0.4,3.6.1,1.0000000000000009,9.268548156007926e-10,1.0861579870321788e-09
phi038_b18,"(32, 32, 32)",0.38,1.8,601,601,113.7088585228482,0.3800048828125,0.0,x,0.3800048828125,0.38000488281250006,0.38000488281250006,36,106,2.0917027260447713e-14,2.0917027260447744e-14,3.155443620884047e-29,1.5085526167720367e-15,1.3386897446686537e-15,1.3386897446686557e-15,1.9721522630525295e-30,1.4731959148164422e-15,6,3,valvatne_blunt,direct,1.0,0.0,1.0,porespy,3.0.4,3.6.1,0.9999999999999984,1.5085526167720367e-09,1.4731959148164421e-09
phi040_b18,"(32, 32, 32)",0.4,1.8,901,901,106.82895994612548,0.399993896484375,0.0,x,0.399993896484375,0.39999389648437506,0.39999389648437506,45,134,2.0334417715561758e-14,2.033441771556178e-14,2.208810534618833e-29,1.0862423333265385e-15,1.3014027337959524e-15,1.3014027337959538e-15,1.3805065841367707e-30,1.060783528639198e-15,5,2,valvatne_blunt,direct,1.0,0.0,1.0,porespy,3.0.4,3.6.1,0.9999999999999989,1.0862423333265385e-09,1.060783528639198e-09
phi041_b20,"(32, 32, 32)",0.41,2.0,701,701,101.12389626873173,0.410003662109375,6.103515625e-05,x,0.409942626953125,0.409942626953125,0.409942626953125,37,106,3.9276824783553274e-14,3.9276824783553305e-14,3.155443620884047e-29,8.033856194519448e-16,2.5137167861474096e-15,2.5137167861474115e-15,1.9721522630525295e-30,7.845562689960399e-16,5,3,valvatne_blunt,direct,1.0,0.0,1.0,porespy,3.0.4,3.6.1,0.9999999999999992,8.033856194519449e-10,7.845562689960399e-10
