case,shape,porosity_target,blobiness,seed_start,seed_used,flow_axis,voxel_size_m,volume_file,pnflow_prt_file,pnflow_upscaled_file,k_pnflow,phi_pnflow,formation_factor_pnflow,pnflow_n_pores,pnflow_n_throats,pnflow_n_inlet_connections,pnflow_n_outlet_connections,pnflow_n_isolated_elements,phi_pnflow_prt,k_pnflow_prt,reference_case_dir,phi_abs_imported_voids,phi_eff_imported_voids,Np_imported_physical,Np_imported_total,Np_imported_boundary_mirror,Nt_imported_voids,k_imported_voids,Q_imported_voids,phi_image,phi_abs_porespy_voids,phi_eff_porespy_voids,Np_porespy_voids,Np_porespy_physical_voids,Np_porespy_reservoir_helper_voids,Nt_porespy_voids,k_porespy_voids,Q_porespy_voids,phi_abs_maxball_voids,phi_eff_maxball_voids,Np_maxball_voids,Np_maxball_physical_voids,Np_maxball_reservoir_helper_voids,Nt_maxball_voids,k_maxball_voids,Q_maxball_voids,porespy_geom_pore_count_rel_diff,porespy_geom_throat_count_rel_diff,porespy_geom_mean_coordination_rel_diff,porespy_geom_pore_radius_ks,porespy_geom_throat_radius_ks,porespy_geom_throat_area_ks,porespy_geom_throat_length_ks,porespy_geom_throat_core_length_ks,porespy_geom_coordination_ks,porespy_geom_throat_face_count_ks,porespy_geom_n_components,porespy_geom_dead_end_fraction,porespy_geom_overlap_boundary_count,porespy_geom_support_radius_mean,maxball_geom_pore_count_rel_diff,maxball_geom_throat_count_rel_diff,maxball_geom_mean_coordination_rel_diff,maxball_geom_pore_radius_ks,maxball_geom_throat_radius_ks,maxball_geom_throat_area_ks,maxball_geom_throat_length_ks,maxball_geom_throat_core_length_ks,maxball_geom_coordination_ks,maxball_geom_throat_face_count_ks,maxball_geom_n_components,maxball_geom_dead_end_fraction,maxball_geom_overlap_boundary_count,maxball_geom_support_radius_mean,maxball_diag_retained_ball_count,maxball_diag_root_region_count,maxball_diag_occupied_region_count,maxball_diag_assigned_void_fraction,maxball_diag_unassigned_void_voxel_count,maxball_diag_zero_throat_region_count,maxball_diag_internal_zero_throat_region_count,maxball_diag_boundary_zero_throat_region_count,maxball_diag_touch_radius_side1_mean_voxels,maxball_diag_touch_radius_side2_mean_voxels,maxball_diag_refined_support_radius_side1_mean_voxels,maxball_diag_refined_support_radius_side2_mean_voxels,k_ratio_imported_to_pnflow,k_ratio_porespy_to_pnflow,k_ratio_maxball_to_pnflow,k_rel_diff_imported,k_rel_diff_porespy,k_rel_diff_maxball,phi_abs_diff_imported,phi_abs_diff_porespy,phi_abs_diff_maxball,np_rel_diff_imported,np_rel_diff_porespy,nt_rel_diff_imported,nt_rel_diff_porespy,np_rel_diff_maxball,nt_rel_diff_maxball
phi032_b14,32x32x32,0.32,1.4,401,401,x,2e-06,phi032_b14/void_volume.npy,phi032_b14/phi032_b14_pnflow.prt,phi032_b14/phi032_b14_upscaled.tsv,9.75193e-15,0.275787,20.8548,80,202,18,19,0,0.275787,9.75193e-15,examples/data/external_pnflow_benchmark/phi032_b14,0.27661132812500006,0.267242431640625,80,117,37,202,9.751927690354089e-15,1.2482467443653235e-10,0.32000732421875,0.32019042968749994,0.32019042968749994,53,53,0,150,6.09676646355862e-15,7.803861073355034e-11,0.28088378906250006,0.28088378906250006,109,78,31,199,1.0143675354264618e-14,1.298390445345871e-10,0.3375,0.09090909090909091,0.27124999999999994,0.825,1.0,0.8121212121212121,0.34424242424242424,,0.1919811320754717,,1,0.07547169811320754,0,,0.024390243902439025,0.029411764705882353,0.005147058823529443,0.825,0.806060606060606,0.3360071301247772,0.10374331550802139,0.10374331550802139,0.07256097560975609,,3,0.12195121951219512,0,1.0097462014676022e-06,139,82,82,0.9103566660308984,940,1,0,1,0.5,0.5048731007338011,0.5,0.5048731007338011,0.999999763160122,0.6251856261846239,1.0401710588842021,2.368398780013994e-07,0.3748143738153761,0.03861966600694874,0.0008243281250000511,0.04440342968749994,0.005096789062500051,0.0,0.3375,0.0,0.25742574257425743,0.025,0.01485148514851485
phi035_b16,32x32x32,0.35,1.6,501,501,x,2e-06,phi035_b16/void_volume.npy,phi035_b16/phi035_b16_pnflow.prt,phi035_b16/phi035_b16_upscaled.tsv,1.33185e-14,0.295502,15.1497,71,198,18,13,0,0.295502,1.33185e-14,examples/data/external_pnflow_benchmark/phi035_b16,0.29708862304687506,0.29708862304687506,71,102,31,198,1.3318504085775706e-14,1.7047685229792903e-10,0.350006103515625,0.34976196289062494,0.34976196289062494,26,26,0,79,1.7022318748156208e-14,2.1788567997639947e-10,0.311859130859375,0.311859130859375,106,70,36,198,1.0805852803338676e-14,1.3831491588273506e-10,0.6197183098591549,0.5269461077844312,0.19611338919593516,0.9014084507042254,1.0,0.7904191616766467,0.5998635640112181,,0.18883672404799165,,2,0.037037037037037035,0,,0.014084507042253521,0.029940119760479042,0.016082121471342924,0.9014084507042254,0.8143712574850299,0.2694610778443114,0.07034079988171804,0.07034079988171804,0.05352112676056338,,1,0.1,0,1.010227495367237e-06,92,70,70,0.8910105501787426,1250,0,0,0,0.5,0.5051137476836184,0.5,0.5051137476836184,1.0000003067744645,1.2780957876755046,0.8113415777556539,3.067743704248142e-07,0.2175860294331165,0.18865842224434617,0.0015866230468750686,0.05425996289062496,0.016357130859375013,0.0,0.6338028169014085,0.0,0.601010101010101,0.014084507042253521,0.0
phi038_b18,32x32x32,0.38,1.8,601,601,x,2e-06,phi038_b18/void_volume.npy,phi038_b18/phi038_b18_pnflow.prt,phi038_b18/phi038_b18_upscaled.tsv,1.19927e-14,0.316315,17.1571,64,180,16,18,0,0.316315,1.19927e-14,examples/data/external_pnflow_benchmark/phi038_b18,0.32208251953125,0.322021484375,64,98,34,180,1.1992671843766962e-14,1.535061996002171e-10,0.3800048828125,0.38000488281250006,0.38000488281250006,36,36,0,106,2.0917027260447713e-14,2.677379489337307e-10,0.33676147460937506,0.33676147460937506,106,68,38,193,1.0252241431507538e-14,1.312286903232965e-10,0.4375,0.273972602739726,0.22523584905660382,0.875,1.0,0.7602739726027398,0.3226932023778754,,0.3107638888888889,,1,0.027777777777777776,0,,0.07246376811594203,0.05806451612903226,0.01528687710939042,0.875,0.8356164383561644,0.3287671232876712,0.06778612461334511,0.06778612461334511,0.06838768115942029,,2,0.07246376811594203,0,1e-06,92,69,69,0.8870061034371989,1407,1,0,1,0.5,0.5,0.5,0.5,0.9999976522190135,1.7441466275690807,0.8548735006718703,2.3477809865484403e-06,0.4266537089294158,0.14512649932812977,0.005767519531249987,0.06368988281250004,0.020446474609375043,0.0,0.4375,0.0,0.4111111111111111,0.0625,0.07222222222222222
phi040_b18,32x32x32,0.4,1.8,901,901,x,2e-06,phi040_b18/void_volume.npy,phi040_b18/phi040_b18_pnflow.prt,phi040_b18/phi040_b18_upscaled.tsv,1.5757e-14,0.343414,12.8629,83,280,18,17,1,0.343414,1.5757e-14,examples/data/external_pnflow_benchmark/phi040_b18,0.346832275390625,0.3458251953125,83,118,35,280,1.5756952539667082e-14,2.0168899250773862e-10,0.399993896484375,0.39999389648437506,0.39999389648437506,45,45,0,134,2.0334417715561745e-14,2.6028054675919034e-10,0.365234375,0.365234375,123,82,41,290,1.9202329888114198e-14,2.457898225678617e-10,0.4578313253012048,0.4530612244897959,0.008721452976083517,0.8554216867469879,1.0,0.8122448979591836,0.39189765458422177,,0.20990629183400267,,1,0.0,0,,0.011904761904761904,0.02,0.00819277108433743,0.8554216867469879,0.8979591836734694,0.3183673469387755,0.08914285714285715,0.08914285714285715,0.06827309236947791,,2,0.07142857142857142,0,1.0066274169979697e-06,106,84,84,0.9156176089112688,1106,0,0,0,0.5,0.5033137084989847,0.5,0.5033137084989847,0.9999969879842027,1.2905005848550957,1.2186539244852572,3.012015797369819e-06,0.22510689903152173,0.17942249238446722,0.003418275390625003,0.05657989648437506,0.021820375000000003,0.0,0.4578313253012048,0.0,0.5214285714285715,0.012048192771084338,0.03571428571428571
phi041_b20,32x32x32,0.41,2.0,701,701,x,2e-06,phi041_b20/void_volume.npy,phi041_b20/phi041_b20_pnflow.prt,phi041_b20/phi041_b20_upscaled.tsv,1.43683e-14,0.354004,14.2977,72,247,18,13,0,0.354004,1.43683e-14,examples/data/external_pnflow_benchmark/phi041_b20,0.3544921875,0.35354614257812506,72,103,31,247,1.436831790521333e-14,1.839144691867306e-10,0.410003662109375,0.410003662109375,0.410003662109375,37,37,0,106,3.925603041797614e-14,5.024771893500946e-10,0.36981201171874994,0.36981201171874994,108,70,38,248,1.8013683072037443e-14,2.3057514332207928e-10,0.4861111111111111,0.5092592592592593,0.04504504504504503,0.9027777777777778,1.0,0.8240740740740741,0.33726415094339623,,0.20495495495495494,,1,0.0,0,,0.013888888888888888,0.027777777777777776,0.014084507042253502,0.9027777777777778,0.8796296296296297,0.3148148148148148,0.11349206349206349,0.11349206349206349,0.06709702660406885,,2,0.0,0,1.0039448910702202e-06,96,71,71,0.9044287309266841,1284,1,0,1,0.50197244553511,0.50197244553511,0.50197244553511,0.50197244553511,1.000001246160877,2.732127699030236,1.2537101168570703,1.2461593241003654e-06,0.6339848974281297,0.2023674479815932,0.00048818750000001465,0.055999662109375015,0.01580801171874996,0.0,0.4861111111111111,0.0,0.5708502024291497,0.027777777777777776,0.004048582995951417
