mode,k_voids,k_xlb,n_steps,converged,mach_max,re_voxel_max,dp_physical,p_inlet_lattice,p_outlet_lattice,dp_lattice,k_xlb_rel_diff_pct_vs_benchmark
benchmark,4.2141729202135846e-14,3.4821878561764334e-14,2300,True,0.00012361992356673125,0.0007137199486745213,8.333333333333334,0.33366666666666667,0.3333333333333333,0.00033333333333335213,0.0
steady_stokes_limit,4.2141729202135846e-14,3.7209253178776406e-14,850,True,2.8124474724454212e-05,0.0001623767276154295,1.6666666666666667,0.3334,0.3333333333333333,6.666666666665932e-05,6.855961583972366
