case,reference_physical_throat_count,native_physical_throat_count,matched_physical_throat_count,native_only_physical_throat_count,reference_only_physical_throat_count,matched_fraction_of_reference,matched_fraction_of_native,median_min_native_overlap_fraction,median_min_reference_overlap_fraction,median_radius_rel_diff,median_area_rel_diff,median_shape_factor_rel_diff,median_length_rel_diff,median_core_length_rel_diff,median_conductance_rel_diff,median_conductance_signed_ratio,k_ratio_maxball_to_pnflow,k_rel_diff_maxball
phi032_b14,165,156,132,24,42,0.8,0.8461538461538461,0.7572815533980582,0.7488789237668162,0.0054795499999999,0.3378278003350267,0.2928932799999999,0.0809394124477637,0.08093938219273189,0.3651044175083845,1.216268057557642,1.041675181406463,0.0400078471200529
phi035_b16,167,157,134,23,37,0.8023952095808383,0.8535031847133758,0.7324561403508771,0.6310679611650486,0.00411545,0.299791459658377,0.2928932988134455,0.10945352838557044,0.10945352880375225,0.3086929839792565,1.0853628966920255,0.8136320705833091,0.1863679294166909
phi038_b18,146,146,117,29,37,0.8013698630136986,0.8013698630136986,0.7543424317617866,0.6585735963581184,0.0045594999999999,0.2999962196328085,0.2928933176268911,0.0589595664488053,0.0589595567011396,0.2829868499247798,1.0820873110317883,0.8531591559966677,0.1468408440033322
phi040_b18,245,245,190,55,65,0.7755102040816326,0.7755102040816326,0.7709923664122137,0.717391304347826,0.004520700000000001,0.29907722732565745,0.29289328,0.08653126666938454,0.0865313270174497,0.2701358078614186,1.137531394089513,1.21132428257841,0.1744572329785941
phi041_b20,216,206,167,39,52,0.7731481481481481,0.8106796116504854,0.7217391304347827,0.7112970711297071,0.0041328486779864,0.3002392034514959,0.29289328,0.0682758745169987,0.0682758216676254,0.2761862411693155,1.117340095317252,1.249692737941693,0.1998033039328928
