backend,backend_label,axis,k_m2,k_mD,n_pores,n_throats,conductance_model,mass_balance_error,reference_viscosity
native_maximal_ball,Native maximal-ball,x,2.1537114297220157e-13,218.22480325695173,1126.0,2130.0,generic_poiseuille,4.467248695799757e-20,0.0008893800376331526
native_maximal_ball,Native maximal-ball,y,3.1130392234614306e-13,315.4286886793969,1126.0,2130.0,generic_poiseuille,3.353007104307655e-20,0.0008893800376331526
native_maximal_ball,Native maximal-ball,z,3.2633867990297343e-13,330.6626562600897,1126.0,2130.0,generic_poiseuille,3.447647603659437e-20,0.0008893800376331526
porespy,PoreSpy snow2,x,4.041940037050674e-13,409.5495604421006,3179.0,5193.0,generic_poiseuille,1.1329533880018189e-19,0.0008893800376331526
porespy,PoreSpy snow2,y,4.888628882562249e-13,495.34030482026805,3194.0,5208.0,generic_poiseuille,1.2908000262255538e-19,0.0008893800376331526
porespy,PoreSpy snow2,z,4.793190411405547e-13,485.6700020564462,3129.0,5143.0,generic_poiseuille,1.544170469407995e-19,0.0008893800376331526
prego,PREGO,x,7.692249911381521e-13,779.4171959848876,2119.0,4926.0,generic_poiseuille,1.6688480963557988e-19,0.0008893800376331526
prego,PREGO,y,9.140436881774867e-13,926.1547358112699,2088.0,4895.0,generic_poiseuille,1.4564053179328206e-19,0.0008893800376331526
prego,PREGO,z,9.080645842713371e-13,920.0964089826808,2062.0,4869.0,generic_poiseuille,1.8262877146307858e-19,0.0008893800376331526
