backend,backend_label,axis,k_m2,k_mD,n_pores,n_throats,conductance_model,mass_balance_error,reference_viscosity
native_maximal_ball,Native maximal-ball,x,3.270507111492002e-13,331.38412189599757,820.0,1390.0,generic_poiseuille,1.008204693622433e-19,0.0008893800376331526
native_maximal_ball,Native maximal-ball,y,1.717643528502182e-13,174.040224655977,820.0,1390.0,generic_poiseuille,1.2412695182335725e-19,0.0008893800376331526
native_maximal_ball,Native maximal-ball,z,7.380131470332787e-14,74.77917960121913,820.0,1390.0,generic_poiseuille,5.760662274641268e-20,0.0008893800376331526
porespy,PoreSpy snow2,x,4.688674205245824e-13,475.07989782446356,1929.0,3158.0,generic_poiseuille,3.880217574938874e-19,0.0008893800376331526
porespy,PoreSpy snow2,y,2.5621436124430946e-13,259.6091927754765,1929.0,3158.0,generic_poiseuille,5.194928787829543e-19,0.0008893800376331526
porespy,PoreSpy snow2,z,1.2982646888193492e-13,131.54666515820927,1929.0,3158.0,generic_poiseuille,7.3596186387514205e-19,0.0008893800376331526
prego,PREGO,x,7.480687909249414e-13,757.9806768417985,1049.0,2350.0,generic_poiseuille,2.1646944227285756e-19,0.0008893800376331526
prego,PREGO,y,5.483556862650056e-13,555.6213803696859,1049.0,2350.0,generic_poiseuille,2.1219209532833784e-19,0.0008893800376331526
prego,PREGO,z,3.512277281269942e-13,355.88148352257383,1049.0,2350.0,generic_poiseuille,2.683752639056194e-19,0.0008893800376331526
