backend,backend_label,axis,k_m2,k_mD,n_pores,n_throats,conductance_model,mass_balance_error,reference_viscosity
native_maximal_ball,Native maximal-ball,x,2.2011374836255064e-14,22.30302480066593,18541.0,31886.0,generic_poiseuille,2.915902942606964e-20,0.0008893800373566067
native_maximal_ball,Native maximal-ball,y,1.5938395738907224e-14,16.149578937803195,18541.0,31886.0,generic_poiseuille,3.2248775291085494e-20,0.0008893800373566067
native_maximal_ball,Native maximal-ball,z,2.7796050243917262e-14,28.16434695980656,18541.0,31886.0,generic_poiseuille,3.444353994205344e-20,0.0008893800373566067
porespy,PoreSpy snow2,x,4.741340650317778e-14,48.041632519140826,27913.0,48477.0,generic_poiseuille,8.904361218792637e-20,0.0008893800373566067
porespy,PoreSpy snow2,y,3.615328448927458e-14,36.63231427333267,27913.0,48477.0,generic_poiseuille,6.963410358993768e-20,0.0008893800373566067
porespy,PoreSpy snow2,z,6.120465003003791e-14,62.01560955145948,27913.0,48477.0,generic_poiseuille,7.409056974503632e-20,0.0008893800373566067
prego,PREGO,x,8.911336443243401e-14,90.29411346599477,17527.0,38704.0,generic_poiseuille,9.651971043274442e-20,0.0008893800373566067
prego,PREGO,y,7.152314526674304e-14,72.47082449744883,17527.0,38704.0,generic_poiseuille,1.3738277952691465e-19,0.0008893800373566067
prego,PREGO,z,1.1570394890520087e-13,117.2370222743762,17527.0,38704.0,generic_poiseuille,1.5917587603790314e-19,0.0008893800373566067
