origin,porosity_pct,target_porosity_pct,abs_porosity_error_pct_points
"(700, 350, 0)",13.675107407407408,13.6520926,0.023014807407409354
"(0, 0, 0)",13.622022222222222,13.6520926,0.030070377777777213
"(0, 350, 0)",13.521748148148149,13.6520926,0.13034445185184929
"(700, 700, 0)",13.972044444444446,13.6520926,0.3199518444444466
"(350, 700, 0)",13.312074074074074,13.6520926,0.3400185259259253
"(700, 0, 350)",14.239348148148148,13.6520926,0.5872555481481495
"(700, 350, 700)",12.956670370370372,13.6520926,0.6954222296296275
"(700, 0, 700)",14.382966666666666,13.6520926,0.7308740666666674
"(0, 350, 350)",14.488522222222223,13.6520926,0.8364296222222234
"(350, 0, 700)",12.788640740740743,13.6520926,0.8634518592592566
"(350, 350, 0)",14.761988888888888,13.6520926,1.1098962888888897
"(700, 350, 350)",14.960644444444442,13.6520926,1.3085518444444444
"(0, 700, 0)",15.07488148148148,13.6520926,1.4227888814814822
"(0, 0, 350)",15.349666666666668,13.6520926,1.6975740666666683
"(700, 700, 350)",15.38258888888889,13.6520926,1.7304962888888915
"(0, 700, 700)",15.48178888888889,13.6520926,1.8296962888888908
"(0, 350, 700)",15.54618888888889,13.6520926,1.8940962888888913
"(0, 0, 700)",15.771992592592593,13.6520926,2.119899992592594
"(700, 0, 0)",11.464844444444445,13.6520926,2.1872481555555545
"(350, 700, 350)",15.9108,13.6520926,2.2587074000000014
"(350, 350, 700)",11.221755555555555,13.6520926,2.430337044444443
"(0, 700, 350)",16.45585555555556,13.6520926,2.803762955555558
"(700, 700, 700)",10.828118518518519,13.6520926,2.82397408148148
"(350, 350, 350)",10.329,13.6520926,3.323092599999998
"(350, 700, 700)",17.700685185185186,13.6520926,4.048592585185188
"(350, 0, 350)",9.278807407407408,13.6520926,4.373285192592591
"(350, 0, 0)",9.219977777777778,13.6520926,4.43211482222222
