backend,backend_label,k_mean_mD,k_mean_m2,k_rms_mD,k_rms_m2,axis_count,aggregate_kabs_mD,aggregate_kabs_m2
native_maximal_ball,Native maximal-ball,288.1053827321461,2.8433791507377266e-13,292.3782451115435,2.885549025136934e-13,3.0,292.3782451115435,2.885549025136934e-13
porespy,PoreSpy snow2,502.35219676539873,4.957830877939567e-13,505.19279885057034,4.985865441778411e-13,3.0,505.19279885057034,4.985865441778411e-13
prego,PREGO,918.0495310634642,9.060444727606066e-13,920.6864393863304,9.086468990244073e-13,3.0,920.6864393863304,9.086468990244073e-13
