backend,backend_label,axis,k_m2,k_mD,n_pores,n_throats,conductance_model,mass_balance_error,reference_viscosity
native_maximal_ball,Native maximal-ball,x,6.420591357790323e-14,65.05663973877526,1717.0,3058.0,generic_poiseuille,1.2004527401059986e-20,0.0008893800376331526
native_maximal_ball,Native maximal-ball,y,6.02063036053871e-14,61.00403507079739,1717.0,3058.0,generic_poiseuille,2.5181928913018053e-20,0.0008893800376331526
native_maximal_ball,Native maximal-ball,z,6.711473826305261e-14,68.00400625160295,1717.0,3058.0,generic_poiseuille,2.1758201539440095e-20,0.0008893800376331526
porespy,PoreSpy snow2,x,1.2136784642107112e-13,122.97596623878584,3472.0,6026.0,generic_poiseuille,1.609250336737821e-19,0.0008893800376331526
porespy,PoreSpy snow2,y,1.2100470678458918e-13,122.60801501452967,3472.0,6026.0,generic_poiseuille,3.9609324586475226e-20,0.0008893800376331526
porespy,PoreSpy snow2,z,1.3329631487920965e-13,135.0624864963768,3472.0,6026.0,generic_poiseuille,5.974241801884163e-20,0.0008893800376331526
prego,PREGO,x,1.9552924712561257e-13,198.12000296842982,2063.0,4679.0,generic_poiseuille,4.562573171471828e-20,0.0008893800376331526
prego,PREGO,y,2.1069984275823886e-13,213.491608474781,2063.0,4679.0,generic_poiseuille,3.406021927783589e-20,0.0008893800376331526
prego,PREGO,z,2.0909370557448545e-13,211.86419002822757,2063.0,4679.0,generic_poiseuille,4.280352574817726e-20,0.0008893800376331526
