origin,porosity_pct,target_porosity_pct,abs_porosity_error_pct_points
"(0, 0, 700)",26.749299999999998,26.718859600000002,0.030440399999998036
"(350, 700, 700)",26.77938148148148,26.718859600000002,0.06052188148147897
"(350, 350, 350)",26.983251851851854,26.718859600000002,0.26439225185185267
"(0, 350, 350)",26.369107407407405,26.718859600000002,0.34975219259259505
"(350, 0, 350)",27.087437037037038,26.718859600000002,0.3685774370370376
"(350, 700, 350)",26.320985185185187,26.718859600000002,0.3978744148148139
"(0, 700, 350)",26.19833703703704,26.718859600000002,0.5205225629629606
"(0, 700, 700)",27.613811111111108,26.718859600000002,0.8949515111111084
"(700, 700, 700)",25.711107407407408,26.718859600000002,1.0077521925925925
"(350, 350, 0)",25.686055555555555,26.718859600000002,1.0328040444444464
"(0, 350, 700)",25.665185185185184,26.718859600000002,1.0536744148148147
"(700, 700, 0)",25.549714814814816,26.718859600000002,1.1691447851851833
"(0, 350, 0)",25.533955555555554,26.718859600000002,1.1849040444444459
"(350, 700, 0)",25.466137037037033,26.718859600000002,1.2527225629629657
"(700, 0, 700)",27.995140740740744,26.718859600000002,1.2762811407407426
"(700, 350, 350)",25.413111111111107,26.718859600000002,1.3057484888888915
"(700, 0, 350)",25.389085185185184,26.718859600000002,1.329774414814816
"(700, 0, 0)",25.357355555555554,26.718859600000002,1.3615040444444448
"(0, 700, 0)",25.351274074074077,26.718859600000002,1.367585525925924
"(0, 0, 0)",25.10336296296296,26.718859600000002,1.6154966370370394
"(700, 350, 0)",28.374644444444446,26.718859600000002,1.6557848444444467
"(350, 350, 700)",28.390892592592593,26.718859600000002,1.6720329925925925
"(0, 0, 350)",28.605270370370373,26.718859600000002,1.8864107703703725
"(350, 0, 700)",28.61804814814815,26.718859600000002,1.8991885481481507
"(350, 0, 0)",29.056144444444442,26.718859600000002,2.3372848444444427
"(700, 350, 700)",29.155374074074075,26.718859600000002,2.436514474074075
"(700, 700, 350)",23.735322222222223,26.718859600000002,2.9835373777777785
