backend,backend_label,k_mean_mD,k_mean_m2,k_rms_mD,k_rms_m2,axis_count,aggregate_kabs_mD,aggregate_kabs_m2
native_maximal_ball,Native maximal-ball,8.705924532848153,8.592079769509459e-15,8.785678935111271,8.670791247380503e-15,3.0,8.785678935111271,8.670791247380503e-15
porespy,PoreSpy snow2,20.35871389297809,2.0092489099013788e-14,20.431906271219482,2.0164724362482628e-14,3.0,20.431906271219482,2.0164724362482628e-14
prego,PREGO,45.304948253372466,4.4712509036547593e-14,45.62446893426692,4.5027851441354197e-14,3.0,45.62446893426692,4.5027851441354197e-14
