backend,backend_label,k_mean_mD,k_mean_m2,k_rms_mD,k_rms_m2,axis_count,aggregate_kabs_mD,aggregate_kabs_m2
native_maximal_ball,Native maximal-ball,193.4011753843979,1.9087212623424876e-13,220.37646709280287,2.1749467014557043e-13,3.0,220.37646709280287,2.1749467014557043e-13
porespy,PoreSpy snow2,288.7452519193831,2.8496941688360893e-13,321.6635754970728,3.1745727741937034e-13,3.0,321.6635754970728,3.1745727741937034e-13
prego,PREGO,556.4945135780195,5.492174017723137e-13,580.2015325452855,5.726144111646506e-13,3.0,580.2015325452855,5.726144111646506e-13
