backend,backend_label,k_mean_mD,k_mean_m2,k_rms_mD,k_rms_m2,axis_count,aggregate_kabs_mD,aggregate_kabs_m2
native_maximal_ball,Native maximal-ball,176.51976503134117,1.742114690199558e-13,179.6948314746878,1.7734501607194274e-13,3.0,179.6948314746878,1.7734501607194274e-13
porespy,PoreSpy snow2,293.0025307002145,2.89171024507007e-13,296.90593160146994,2.9302338180569703e-13,3.0,296.90593160146994,2.9302338180569703e-13
prego,PREGO,508.3205527168684,5.016733973451558e-13,515.2369805007428,5.084993810778286e-13,3.0,515.2369805007428,5.084993810778286e-13
