origin,porosity_pct,target_porosity_pct,abs_porosity_error_pct_points
"(700, 0, 700)",21.47375185185185,21.487197700000003,0.013445848148152528
"(0, 700, 350)",21.4166,21.487197700000003,0.0705977000000052
"(350, 0, 350)",21.29532962962963,21.487197700000003,0.191868070370374
"(0, 350, 700)",21.714262962962962,21.487197700000003,0.22706526296295826
"(700, 700, 0)",21.23638888888889,21.487197700000003,0.25080881111111675
"(0, 700, 700)",21.959977777777777,21.487197700000003,0.47278007777777353
"(0, 0, 350)",21.96524814814815,21.487197700000003,0.4780504481481429
"(350, 700, 0)",20.994733333333336,21.487197700000003,0.49246436666667004
"(700, 700, 700)",20.976381481481482,21.487197700000003,0.5108162185185228
"(700, 350, 0)",21.99819259259259,21.487197700000003,0.5109948925925867
"(0, 350, 350)",20.955299999999998,21.487197700000003,0.5318977000000058
"(350, 0, 700)",20.952196296296297,21.487197700000003,0.5350014037037082
"(700, 350, 350)",22.050514814814814,21.487197700000003,0.5633171148148097
"(350, 350, 0)",22.092666666666666,21.487197700000003,0.6054689666666613
"(0, 0, 0)",22.15564074074074,21.487197700000003,0.6684430407407349
"(700, 0, 350)",20.743285185185183,21.487197700000003,0.7439125148148207
"(350, 350, 350)",20.732544444444446,21.487197700000003,0.7546532555555596
"(700, 350, 700)",22.26366666666667,21.487197700000003,0.776468966666663
"(350, 0, 0)",22.61631851851852,21.487197700000003,1.1291208185185142
"(0, 700, 0)",20.216562962962964,21.487197700000003,1.2706347370370408
"(700, 700, 350)",20.19816296296296,21.487197700000003,1.2890347370370425
"(0, 0, 700)",23.02845925925926,21.487197700000003,1.541261559259255
"(350, 700, 350)",19.782666666666668,21.487197700000003,1.7045310333333368
"(700, 0, 0)",23.325114814814814,21.487197700000003,1.8379171148148106
"(0, 350, 0)",23.34752222222222,21.487197700000003,1.8603245222222176
"(350, 350, 700)",19.521144444444445,21.487197700000003,1.966053255555561
"(350, 700, 700)",19.22561111111111,21.487197700000003,2.261586588888895
