backend,backend_label,k_mean_mD,k_mean_m2,k_rms_mD,k_rms_m2,axis_count,aggregate_kabs_mD,aggregate_kabs_m2
native_maximal_ball,Native maximal-ball,64.68822702039186,6.384231848211432e-14,64.75184305044381,6.390510262442607e-14,3.0,64.75184305044381,6.390510262442607e-14
porespy,PoreSpy snow2,126.8821559165641,1.2522295602828998e-13,127.01402662271872,1.253531023007814e-13,3.0,127.01402662271872,1.253531023007814e-13
prego,PREGO,207.8252671571461,2.0510759848611228e-13,207.93960459844803,2.0522044077099555e-13,3.0,207.93960459844803,2.0522044077099555e-13
