origin,porosity_pct,target_porosity_pct,abs_porosity_error_pct_points
"(700, 700, 350)",22.81958888888889,22.7061513,0.11343758888889
"(350, 350, 700)",23.134574074074074,22.7061513,0.4284227740740748
"(0, 350, 0)",22.00352962962963,22.7061513,0.7026216703703708
"(700, 0, 0)",23.433696296296297,22.7061513,0.7275449962962977
"(0, 700, 700)",23.539107407407407,22.7061513,0.8329561074074093
"(0, 0, 700)",21.844555555555555,22.7061513,0.8615957444444433
"(700, 0, 350)",21.80152222222222,22.7061513,0.9046290777777771
"(350, 350, 350)",21.706470370370372,22.7061513,0.9996809296296288
"(700, 350, 700)",23.762207407407406,22.7061513,1.0560561074074077
"(0, 0, 0)",21.447314814814813,22.7061513,1.2588364851851859
"(700, 0, 700)",24.350607407407406,22.7061513,1.6444561074074078
"(700, 700, 0)",21.027474074074075,22.7061513,1.678677225925926
"(350, 0, 350)",20.973677777777777,22.7061513,1.732473522222222
"(700, 350, 0)",24.508418518518518,22.7061513,1.802267218518519
"(0, 350, 350)",20.875333333333334,22.7061513,1.8308179666666646
"(350, 700, 0)",20.795407407407406,22.7061513,1.9107438925925924
"(0, 700, 0)",20.747325925925924,22.7061513,1.9588253740740746
"(700, 700, 700)",24.785896296296297,22.7061513,2.079744996296298
"(700, 350, 350)",20.497914814814816,22.7061513,2.208236485185183
"(350, 700, 350)",20.366337037037038,22.7061513,2.339814262962961
"(0, 0, 350)",20.273196296296298,22.7061513,2.432955003703702
"(350, 700, 700)",25.443848148148145,22.7061513,2.737696848148147
"(350, 0, 700)",19.898699999999998,22.7061513,2.8074512999999994
"(0, 350, 700)",26.290137037037038,22.7061513,3.583985737037038
"(0, 700, 350)",26.48466296296296,22.7061513,3.7785116629629636
"(350, 0, 0)",26.771962962962963,22.7061513,4.065811662962965
"(350, 350, 0)",16.83397037037037,22.7061513,5.872180929629628
