backend,backend_label,axis,k_m2,k_mD,n_pores,n_throats,conductance_model,mass_balance_error,reference_viscosity
native_maximal_ball,Native maximal-ball,x,8.936246952411188e-14,90.546519191625,963.0,1651.0,generic_poiseuille,1.4345161927833654e-20,0.0008893800376939967
native_maximal_ball,Native maximal-ball,y,7.254374089675963e-14,73.50494298468749,963.0,1651.0,generic_poiseuille,2.318512628635473e-20,0.0008893800376939967
native_maximal_ball,Native maximal-ball,z,7.400726925064504e-14,74.9878630392504,963.0,1651.0,generic_poiseuille,1.789933726654637e-20,0.0008893800376939967
porespy,PoreSpy snow2,x,1.4301926284909595e-13,144.91426319461294,2062.0,3373.0,generic_poiseuille,4.029549629385167e-20,0.0008893800376939967
porespy,PoreSpy snow2,y,1.3294397124306255e-13,134.705474319091,2062.0,3373.0,generic_poiseuille,4.372136579865504e-20,0.0008893800376939967
porespy,PoreSpy snow2,z,1.3830189163559727e-13,140.13438697373672,2062.0,3373.0,generic_poiseuille,4.935590101113175e-20,0.0008893800376939967
prego,PREGO,x,2.7753059733500963e-13,281.20786826596316,1501.0,3301.0,generic_poiseuille,5.701216556948811e-20,0.0008893800376939967
prego,PREGO,y,2.355568444266645e-13,238.67796456590344,1501.0,3301.0,generic_poiseuille,5.0477448497206273e-20,0.0008893800376939967
prego,PREGO,z,2.6581243193036514e-13,269.33443757013856,1501.0,3301.0,generic_poiseuille,3.565274183010426e-20,0.0008893800376939967
