backend,backend_label,k_mean_mD,k_mean_m2,k_rms_mD,k_rms_m2,axis_count,aggregate_kabs_mD,aggregate_kabs_m2
native_maximal_ball,Native maximal-ball,203.33562450089235,2.0067666553998157e-13,217.35756225339202,2.145152426190731e-13,3.0,217.35756225339202,2.145152426190731e-13
porespy,PoreSpy snow2,304.00356981169944,3.0002820633034285e-13,313.22866603011994,3.091326687330439e-13,3.0,313.22866603011994,3.091326687330439e-13
prego,PREGO,576.268473591924,5.687327836433046e-13,594.8580169304546,5.870792371004602e-13,3.0,594.8580169304546,5.870792371004602e-13
