origin,porosity_pct,target_porosity_pct,abs_porosity_error_pct_points
"(0, 744, 0)",21.318674087524414,21.671533200000002,0.35285911247558976
"(372, 372, 0)",21.311557292938232,21.671533200000002,0.3599759070617714
"(0, 0, 0)",21.30991220474243,21.671533200000002,0.3616209952575722
"(0, 372, 0)",21.053582429885864,21.671533200000002,0.6179507701141396
"(372, 744, 0)",21.025538444519043,21.671533200000002,0.6459947554809609
"(744, 0, 744)",21.00476622581482,21.671533200000002,0.6667669741851845
"(0, 744, 372)",22.557860612869263,21.671533200000002,0.8863274128692589
"(372, 744, 744)",22.600269317626953,21.671533200000002,0.9287361176269493
"(744, 0, 0)",20.737946033477783,21.671533200000002,0.9335871665222206
"(744, 744, 372)",22.697371244430542,21.671533200000002,1.0258380444305382
"(744, 372, 372)",20.59718370437622,21.671533200000002,1.0743494956237831
"(744, 744, 0)",22.80482053756714,21.671533200000002,1.1332873375671348
"(744, 372, 744)",20.503097772598267,21.671533200000002,1.1684354274017372
"(372, 372, 744)",22.864770889282227,21.671533200000002,1.1932376892822227
"(372, 372, 372)",20.41425108909607,21.671533200000002,1.2572821109039345
"(0, 372, 744)",23.179197311401367,21.671533200000002,1.5076641114013634
"(372, 0, 0)",20.134520530700684,21.671533200000002,1.5370126692993202
"(372, 0, 372)",23.23593497276306,21.671533200000002,1.5644017727630577
"(0, 372, 372)",23.54496121406555,21.671533200000002,1.873428014065548
"(372, 0, 744)",19.733303785324097,21.671533200000002,1.9382294146759071
"(372, 744, 372)",24.274569749832153,21.671533200000002,2.6030365498321495
"(744, 372, 0)",18.393784761428833,21.671533200000002,3.277748438571171
"(0, 0, 744)",18.301039934158325,21.671533200000002,3.3704932658416786
"(744, 0, 372)",18.241238594055176,21.671533200000002,3.430294605944828
"(744, 744, 744)",25.494009256362915,21.671533200000002,3.822476056362911
"(0, 0, 372)",17.606663703918457,21.671533200000002,4.064869496081547
"(0, 744, 744)",26.330721378326416,21.671533200000002,4.659188178326412
