backend,backend_label,axis,k_m2,k_mD,n_pores,n_throats,conductance_model,mass_balance_error,reference_viscosity
native_maximal_ball,Native maximal-ball,x,7.884696536169891e-15,7.989168495839435,1975.0,3133.0,generic_poiseuille,9.882580833245959e-21,0.0008893800376331526
native_maximal_ball,Native maximal-ball,y,7.656242070518891e-15,7.757687016325271,1975.0,3133.0,generic_poiseuille,1.3536919358910674e-20,0.0008893800376331526
native_maximal_ball,Native maximal-ball,z,1.0235300701839595e-14,10.370918086379756,1975.0,3133.0,generic_poiseuille,5.864478479181911e-21,0.0008893800376331526
porespy,PoreSpy snow2,x,2.0237928716326655e-14,20.506080580250416,3454.0,5647.0,generic_poiseuille,1.718450426412054e-19,0.0008893800376331526
porespy,PoreSpy snow2,y,1.7935034026671405e-14,18.172672614651415,3454.0,5647.0,generic_poiseuille,8.315662836171262e-20,0.0008893800376331526
porespy,PoreSpy snow2,z,2.21045045540433e-14,22.397388484032447,3454.0,5647.0,generic_poiseuille,7.02042672893978e-20,0.0008893800376331526
prego,PREGO,x,4.150795005602201e-14,42.05792897586065,2022.0,4147.0,generic_poiseuille,4.9463649884848364e-20,0.0008893800376331526
prego,PREGO,y,4.042017124260786e-14,40.955737130340175,2022.0,4147.0,generic_poiseuille,4.394872009728981e-20,0.0008893800376331526
prego,PREGO,z,5.2209405811012914e-14,52.90117865391658,2022.0,4147.0,generic_poiseuille,3.3091524135143513e-20,0.0008893800376331526
