backend,cases_completed,median_runtime_s,max_abs_k_rel_diff,max_velocity_rel_l2,max_pressure_rel_l2
umfpack,9,0.00993141601793468,1.9984014443252743e-15,2.5024665731374628e-15,1.7482916069519887e-15
scipy_spsolve,9,0.01038466696627438,1.9984014443252743e-15,2.533584795212924e-15,1.9230956761617945e-15
petsc_mumps,9,0.021094417024869472,0.0,0.0,0.0
